Category: All categories

Day,quarantine meaning: (Philippines),quarantine status: (Philippines),quarantine tagalog: (Philippines),side effects ng bakuna sa: (Philippines),time pandemic: (Philippines)
2022-02-20,6,0,0,0,91
2022-02-21,6,0,0,0,70
2022-02-22,9,0,6,0,74
2022-02-23,5,0,6,0,78
2022-02-24,7,0,5,0,70
2022-02-25,6,0,6,0,70
2022-02-26,6,0,6,0,72
2022-02-27,5,0,5,0,95
2022-02-28,0,0,5,0,73
2022-03-01,6,5,5,0,83
2022-03-02,4,0,0,0,71
2022-03-03,6,0,5,0,72
2022-03-04,5,0,5,0,67
2022-03-05,0,0,0,0,77
2022-03-06,0,0,0,0,76
2022-03-07,0,0,7,0,72
2022-03-08,0,0,0,0,75
2022-03-09,0,0,8,0,80
2022-03-10,7,0,0,0,73
2022-03-11,0,0,5,0,68
2022-03-12,0,0,6,0,62
2022-03-13,6,0,0,0,76
2022-03-14,5,0,5,0,73
2022-03-15,9,0,5,0,71
2022-03-16,7,0,0,0,69
2022-03-17,4,0,0,0,73
2022-03-18,5,0,4,0,66
2022-03-19,0,0,0,0,59
2022-03-20,6,0,0,0,67
2022-03-21,0,0,0,0,61
2022-03-22,6,0,0,0,67
2022-03-23,5,0,5,0,61
2022-03-24,5,0,4,0,61
2022-03-25,0,0,0,0,52
2022-03-26,0,0,0,0,55
2022-03-27,0,0,0,0,56
2022-03-28,5,0,0,0,47
2022-03-29,6,0,0,0,50
2022-03-30,8,0,5,0,63
2022-03-31,5,0,0,0,56
2022-04-01,6,0,5,0,51
2022-04-02,0,0,0,0,51
2022-04-03,0,0,5,0,53
2022-04-04,0,0,4,0,49
2022-04-05,4,0,0,0,52
2022-04-06,7,0,7,0,53
2022-04-07,6,0,0,0,59
2022-04-08,0,0,0,0,44
2022-04-09,5,0,0,0,47
2022-04-10,5,0,0,0,59
2022-04-11,0,0,0,0,42
2022-04-12,0,0,0,0,42
2022-04-13,0,0,0,0,33
2022-04-14,0,0,0,0,31
2022-04-15,0,0,0,0,36
2022-04-16,0,0,0,0,39
2022-04-17,0,0,0,0,44
2022-04-18,0,6,0,0,44
2022-04-19,4,4,6,0,46
2022-04-20,5,0,6,0,48
2022-04-21,4,4,6,0,56
2022-04-22,5,0,0,0,49
2022-04-23,0,0,0,0,51
2022-04-24,0,5,0,0,55
2022-04-25,0,0,0,0,57
2022-04-26,4,0,0,0,48
2022-04-27,5,0,5,0,45
2022-04-28,5,0,6,0,56
2022-04-29,6,5,0,0,39
2022-04-30,0,0,0,0,45
2022-05-01,0,0,0,0,35
2022-05-02,0,0,0,0,35
2022-05-03,0,0,0,0,41
2022-05-04,0,0,0,0,33
2022-05-05,0,0,0,0,25
2022-05-06,0,0,8,0,28
2022-05-07,0,0,0,0,31
2022-05-08,0,0,0,0,19
2022-05-09,0,0,0,0,22
2022-05-10,0,0,0,0,27
2022-05-11,0,0,0,0,45
2022-05-12,0,0,0,0,36
2022-05-13,0,0,0,0,30
2022-05-14,8,0,0,0,35
2022-05-15,6,0,0,0,48
2022-05-16,5,0,0,0,46
2022-05-17,0,0,0,0,49
2022-05-18,6,0,0,0,46
2022-05-19,0,0,0,0,49
2022-05-20,0,0,0,0,36
2022-05-21,6,0,0,0,39
2022-05-22,0,0,0,0,49
2022-05-23,0,0,0,0,52
2022-05-24,0,0,0,0,47
2022-05-25,0,0,0,0,40
2022-05-26,7,5,7,0,49
2022-05-27,0,0,0,0,42
2022-05-28,0,0,0,0,37
