Category: All categories

Day,bakuna sa: (Philippines),bureau quarantine: (Philippines),home quarantine: (Philippines),kahalagahan ng bakuna: (Philippines),ofw quarantine: (Philippines)
2022-02-05,25,31,0,0,0
2022-02-06,31,26,0,0,0
2022-02-07,23,46,0,0,0
2022-02-08,29,49,11,0,0
2022-02-09,32,60,0,0,0
2022-02-10,15,55,0,0,0
2022-02-11,36,51,14,0,0
2022-02-12,19,34,0,0,0
2022-02-13,25,27,12,0,0
2022-02-14,30,74,15,0,0
2022-02-15,41,52,9,0,0
2022-02-16,48,47,13,0,0
2022-02-17,38,46,16,0,0
2022-02-18,54,52,17,0,8
2022-02-19,30,22,10,0,0
2022-02-20,41,19,21,0,0
2022-02-21,37,44,16,0,0
2022-02-22,33,52,18,0,10
2022-02-23,28,56,20,0,11
2022-02-24,39,40,11,0,9
2022-02-25,33,42,12,0,0
2022-02-26,28,29,14,0,0
2022-02-27,41,30,16,0,0
2022-02-28,34,54,9,10,0
2022-03-01,49,45,10,0,0
2022-03-02,45,54,22,0,0
2022-03-03,34,44,17,0,8
2022-03-04,31,51,11,0,0
2022-03-05,31,29,0,0,0
2022-03-06,34,34,12,0,0
2022-03-07,36,45,11,0,0
2022-03-08,43,34,9,0,0
2022-03-09,42,48,15,0,15
2022-03-10,42,42,14,0,0
2022-03-11,34,47,0,0,0
2022-03-12,23,21,13,0,0
2022-03-13,30,26,13,0,0
2022-03-14,37,49,17,0,16
2022-03-15,43,40,0,0,0
2022-03-16,34,45,11,0,0
2022-03-17,32,40,10,0,0
2022-03-18,34,33,12,0,0
2022-03-19,26,25,0,0,0
2022-03-20,41,33,11,0,0
2022-03-21,23,40,9,0,0
2022-03-22,31,40,9,0,0
2022-03-23,29,47,9,0,0
2022-03-24,30,45,0,0,0
2022-03-25,28,28,0,0,0
2022-03-26,34,31,0,0,0
2022-03-27,39,22,10,0,0
2022-03-28,27,43,10,0,0
2022-03-29,21,35,7,0,0
2022-03-30,32,51,13,0,0
2022-03-31,29,37,8,0,0
2022-04-01,25,35,13,0,0
2022-04-02,23,29,0,0,0
2022-04-03,31,24,0,11,0
2022-04-04,24,45,17,0,0
2022-04-05,29,41,9,0,0
2022-04-06,33,55,9,0,0
2022-04-07,28,77,11,0,0
2022-04-08,28,44,12,0,0
2022-04-09,23,28,0,0,0
2022-04-10,30,21,0,0,0
2022-04-11,22,40,0,0,0
2022-04-12,14,36,0,0,0
2022-04-13,20,32,0,0,0
2022-04-14,14,25,11,0,0
2022-04-15,18,13,0,0,0
2022-04-16,16,15,10,0,0
2022-04-17,15,21,0,0,0
2022-04-18,19,44,0,0,0
2022-04-19,20,33,0,0,0
2022-04-20,18,49,19,0,0
2022-04-21,23,39,9,0,0
2022-04-22,20,43,0,0,0
2022-04-23,14,23,10,0,0
2022-04-24,13,26,0,0,0
2022-04-25,14,39,0,0,0
2022-04-26,20,45,0,0,0
2022-04-27,18,41,10,0,0
2022-04-28,14,42,0,0,0
2022-04-29,13,29,0,0,0
2022-04-30,13,13,0,0,0
2022-05-01,0,26,0,0,0
2022-05-02,13,36,0,0,0
2022-05-03,0,36,0,0,0
2022-05-04,13,44,0,0,0
2022-05-05,11,49,0,0,0
2022-05-06,0,35,0,0,0
2022-05-07,0,18,0,0,0
2022-05-08,0,18,0,0,0
2022-05-09,0,15,0,0,0
2022-05-10,0,36,9,0,0
2022-05-11,14,34,0,0,0
2022-05-12,10,39,0,0,0
2022-05-13,0,35,0,0,0
2022-05-14,0,23,0,0,0
2022-05-15,20,26,11,0,0
2022-05-16,17,41,0,0,0
2022-05-17,0,47,0,0,0
2022-05-18,14,42,16,0,0
2022-05-19,12,46,0,0,0
2022-05-20,0,31,0,0,0
2022-05-21,0,21,0,0,0
2022-05-22,0,25,21,0,0
2022-05-23,18,35,11,0,0
2022-05-24,0,39,14,0,0
2022-05-25,15,41,0,0,0
2022-05-26,18,34,0,0,0
2022-05-27,16,31,0,0,0
2022-05-28,0,37,0,0,0
