Category: All categories

Day,bakuna: (Philippines),bureau quarantine: (Philippines),effect pandemic: (Philippines),essay pandemic: (Philippines),home quarantine: (Philippines)
2020-08-23,0,0,0,9,0
2020-08-24,0,9,8,8,0
2020-08-25,0,5,0,12,6
2020-08-26,0,0,6,17,0
2020-08-27,0,0,6,15,7
2020-08-28,7,5,5,14,6
2020-08-29,0,0,0,11,7
2020-08-30,0,6,0,8,0
2020-08-31,0,0,0,8,0
2020-09-01,0,0,7,13,0
2020-09-02,0,5,5,18,0
2020-09-03,0,0,6,13,8
2020-09-04,0,0,6,11,6
2020-09-05,0,0,6,12,0
2020-09-06,0,0,0,10,0
2020-09-07,0,6,9,15,5
2020-09-08,6,5,7,19,9
2020-09-09,0,0,6,15,12
2020-09-10,0,0,7,15,7
2020-09-11,0,0,8,15,6
2020-09-12,0,0,0,9,6
2020-09-13,0,0,8,12,6
2020-09-14,0,5,7,18,5
2020-09-15,0,5,7,15,8
2020-09-16,0,0,5,17,6
2020-09-17,0,0,8,23,7
2020-09-18,0,0,7,17,0
2020-09-19,0,0,7,15,7
2020-09-20,0,0,6,10,0
2020-09-21,0,0,5,16,5
2020-09-22,0,0,6,14,8
2020-09-23,0,0,9,18,0
2020-09-24,0,0,6,19,0
2020-09-25,0,6,7,13,8
2020-09-26,0,0,8,16,0
2020-09-27,0,0,8,13,10
2020-09-28,0,0,6,15,9
2020-09-29,0,0,8,20,6
2020-09-30,0,6,7,23,7
2020-10-01,0,0,12,17,8
2020-10-02,0,5,7,17,10
2020-10-03,0,0,10,19,10
2020-10-04,0,0,0,20,6
2020-10-05,6,0,15,30,12
2020-10-06,0,5,15,35,13
2020-10-07,5,4,10,39,8
2020-10-08,5,0,13,38,14
2020-10-09,0,0,13,31,10
2020-10-10,0,0,16,24,6
2020-10-11,5,0,10,24,10
2020-10-12,0,0,9,29,14
2020-10-13,5,0,14,26,10
2020-10-14,5,0,10,30,6
2020-10-15,5,5,16,29,10
2020-10-16,0,0,12,27,8
2020-10-17,0,0,7,20,10
2020-10-18,0,0,15,27,7
2020-10-19,0,13,9,18,7
2020-10-20,0,10,8,28,10
2020-10-21,0,10,13,27,9
2020-10-22,0,9,22,31,10
2020-10-23,0,6,14,19,8
2020-10-24,0,12,10,21,8
2020-10-25,0,13,7,19,9
2020-10-26,0,10,9,20,12
2020-10-27,6,7,10,21,8
2020-10-28,0,8,12,20,7
2020-10-29,5,0,12,26,11
2020-10-30,0,8,15,16,7
2020-10-31,0,0,9,13,7
2020-11-01,0,0,7,18,0
2020-11-02,0,0,9,15,8
2020-11-03,0,10,10,18,9
2020-11-04,0,7,13,20,7
2020-11-05,6,5,10,26,7
2020-11-06,0,0,5,21,11
2020-11-07,0,0,8,22,6
2020-11-08,0,0,10,18,9
2020-11-09,0,0,13,25,6
2020-11-10,0,0,11,20,5
2020-11-11,0,8,16,18,0
2020-11-12,0,0,14,20,6
2020-11-13,0,0,6,17,0
2020-11-14,0,0,11,13,9
2020-11-15,0,0,10,23,8
2020-11-16,0,7,8,15,5
2020-11-17,0,0,10,11,9
2020-11-18,0,7,11,22,9
2020-11-19,5,7,9,18,8
2020-11-20,0,0,10,15,7
2020-11-21,0,0,10,18,6
2020-11-22,0,0,13,14,6
2020-11-23,6,5,8,22,8
2020-11-24,0,5,9,24,6
2020-11-25,5,7,7,19,5
2020-11-26,5,0,7,26,5
2020-11-27,5,0,9,19,0
2020-11-28,0,0,8,11,6
2020-11-29,0,0,9,12,8
2020-11-30,0,8,9,21,7
2020-12-01,0,0,9,17,0
2020-12-02,6,0,10,25,10
2020-12-03,6,0,13,23,9
2020-12-04,0,8,10,18,6
